source,taxonid,name,rank
perso,Synaptula reticulata,Holothuroidea,class
perso,Echinaster luzonicus,Asteroidea,class
perso,Holothuria princeps,Holothuroidea,class
perso,Lissothuria nutriens,Holothuroidea,class
perso,Holothuria pervicax,Holothuroidea,class
perso,Amphiura arcystata,Ophiuroidea,class
perso,Ophiocoma paucigranulata,Ophiuroidea,class
perso,Ophioderma cinereum,Ophiuroidea,class
perso,Ophioderma appressum,Ophiuroidea,class
perso,Echinaster echinophorus,Asteroidea,class
perso,Leptosynapta tenuis,Holothuroidea,class
perso,Colochirus robustus,Holothuroidea,class
perso,Mithrodia fisheri,Asteroidea,class
perso,Choriaster granulatus,Asteroidea,class
perso,Pseudocolochirus violaceus,Holothuroidea,class
perso,Synaptula lamperti,Holothuroidea,class
perso,Synapta maculata,Holothuroidea,class
perso,Asthenosoma varium,Echinoidea,class
perso,Nardoa frianti,Asteroidea,class
perso,Asthenosoma ijimai,Echinoidea,class
perso,Echinaster callosus,Asteroidea,class
perso,,NA,NA
perso,Ophiolepis superba,Ophiuroidea,class
perso,Opheodesoma spectabilis,Holothuroidea,class
perso,Nardoa tuberculata,Asteroidea,class
perso,Luidia magnifica,Asteroidea,class
perso,Halityle regularis,Asteroidea,class
perso,Chondrocidaris gigantea,Asteroidea,class
perso,Stichopus noctivagus,Holothuroidea,class
perso,Gomophia gomophia,Asteroidea,class
perso,Nardoa galatheae,Asteroidea,class
perso,Bohadschia graeffei,Holothuroidea,class
perso,Comaster schlegelii,Crinoidea,class
perso,Ophioderma rubicundum,Ophiuroidea,class
perso,Pentaceraster alveolatus,Asteroidea,class
perso,Ophiarachna incrassata,Ophiuroidea,class
perso,Holothuria thomasi,Holothuroidea,class
perso,Ophiomastix,Ophiuroidea,class
perso,Ophiothrix purpurea,Ophiuroidea,class
perso,Valvaster striatus,Asteroidea,class
perso,Nemaster grandis,Asteroidea,class
perso,Ferdina sadhensis,Asteroidea,class
perso,Davidaster discoideus,Crinoidea,class
perso,Ophiothrix suensonii,Ophiuroidea,class
perso,Echinodermata,NA,NA
